archive,folder_name,size_bytes,size_mb,file_count
jillem-full-archive,akwaboa (akwaboa's international band) - meye meye (lp) (320kb),75708716,72.2,11
jillem-full-archive,akwasi yeboah's band - aware bone nti (1979) (digital) (flac 320kb),83686820,79.81,13
jillem-full-archive,"akwassa - in the groove (1977, reissue 2018) (320kb)",85309377,81.36,12
jillem-full-archive,al campbell - gee baby   no more running (2017) (320kb),143146487,136.52,23
jillem-full-archive,al campbell and errol scorcher - rock your soul-cruisin' 12'' (1981) (flac 320kb),30624001,29.21,6
jillem-full-archive,al doum & the faryds - spirit rejoin (320kb),97187376,92.69,13
jillem-full-archive,al valdez y su conjunto - gozando!! con al valdez y su conjunto (1965) (cd) (flac 320kb),86613486,82.6,19
jillem-full-archive,alabaster deplume - to cy & lee- instrumentals vol. 1 (320kb),109507661,104.43,14
jillem-full-archive,alain goraguer - la planete sauvage (ost) (remastered) (2012) (flac 320kb),98224139,93.67,33
jillem-full-archive,alain peters - vavanguer (takamba) (320kb),184981759,176.41,26
jillem-full-archive,alan braufman - valley of search (1975; 2018) (flac 320kb),105200909,100.33,17
jillem-full-archive,alan lomax - i'll be so glad when the sun goes down (remastered) (digital) (flac 320kb),107315640,102.34,21
jillem-full-archive,alan lomax - i'll meet you on that other shore (remastered) (digital) (flac 320kb),113379578,108.13,19
jillem-full-archive,alan lomax - i'm gonna live anyhow until i die (remastered) (digital) (flac 320kb),109418876,104.35,19
jillem-full-archive,"alan lomax - wave the ocean, wave the sea (remastered) (digital) (flac 320kb)",112246994,107.05,20
jillem-full-archive,"alan lomax - worried now, won't be worried long (remastered) (digital) (flac 320kb)",107956629,102.96,19
jillem-full-archive,"alan lomax in asturias, november 1952 (digital) (320kb)",388067795,370.09,106
jillem-full-archive,alan lomax's american patchwork (digital) (320kb),160405194,152.97,30
jillem-full-archive,"alan lomax, selected writings 1934-1997 (pdf)",6667626,6.36,5
jillem-full-archive,alan vega - alan vega (1980; 1987) (cd) (flac 320kb),87860315,83.79,17
jillem-full-archive,alan vega - collision drive (cd) (flac 320kb),100877346,96.2,17
jillem-full-archive,"alan watts - this is it (1962, reissue 2015) (flac 320kb)",94331314,89.96,12
jillem-full-archive,alasdair roberts - no earthly man (320kb),125087880,119.29,13
jillem-full-archive,albania - there where the avalanche stops (320kb),109410051,104.34,18
jillem-full-archive,"albarika store archive, vol. 1 (flac 320kb)",146359457,139.58,18
jillem-full-archive,albert ayler - live in greenwich village - the complete impulse recordings (1998) (2cd) (320kb artwork),358243677,341.65,40
jillem-full-archive,albert ayler - live in greenwich village - the complete impulse recordings (1998) (disc 1) (flac artwork),172308074,164.33,23
jillem-full-archive,albert ayler - live in greenwich village - the complete impulse recordings (1998) (disc 2) (flac artwork),183771234,175.26,25
jillem-full-archive,albert ayler - love cry-the last album (2011) (320kb booklet),196006192,186.93,22
jillem-full-archive,albert ayler - love cry-the last album (2011) (flac booklet),215170268,205.2,28
jillem-full-archive,albert ayler - music is the healing force of the universe (2003) (flac 320kb),127268585,121.37,15
jillem-full-archive,albert ayler - the copenhagen tapes (cd) (2002) (ayler records) (320kb art pdf),171146341,163.22,16
jillem-full-archive,albert ayler - the copenhagen tapes (cd) (2002) (ayler records) (flac art pdf),177759843,169.52,18
jillem-full-archive,albert ayler quartet - the hilversum session (1964; 2007) (flac 320kb),121208663,115.59,21
jillem-full-archive,albert mangelsdorff quintet - abstractions aka now jazz ramwong (flac 320kb),134047653,127.84,24
jillem-full-archive,alberto baldan bembo - lingua d'argento (1976; 2018) (digital) (flac 320kb),78445584,74.81,19
jillem-full-archive,album d'or de la biguine 1966-1972 (fremeaux & associes) (320kb),156548217,149.3,21
jillem-full-archive,"alceu valenca & geraldo azevedo - st (1972) [ndaudio] (aac,vbr,avg. 403kb)",125179401,119.38,24
jillem-full-archive,alceu valenca - anos 70 (4cd box set) (2017) (320kb),445890875,425.23,87
jillem-full-archive,"alefa madagascar! salegy, soukous & soul from the red island 1974-1984 (320kb)",171137889,163.21,23
